player,name_key,team,pos,age,gp,gs,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,PER,ts_pct,usg_pct,OWS,DWS,WS,ws_per_48,OBPM,DBPM,BPM,VORP,salary_2025_26,salary_2026_27,contract_years_remaining,total_remaining_value,guaranteed_total,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,cap_pct,per36_pts,per36_reb,per36_ast,likely_rookie_scale,predicted_cap_pct,predicted_aav,surplus_value,contract_type,contract_grade,small_sample_caveat
LeBron James,lebron james,LAL,SF,41,60,60,33.2,20.9,6.1,7.2,1.2,0.6,3.0,0.515,0.317,0.737,0.557,20.8,0.594,27.2,3.4,2.1,5.4,0.131,3.3,0.2,3.5,2.8,52627153.0,,1.0,52627153.0,52627153.0,52627153.0,,,,,,0.3403050366318131,22.662650602409638,6.614457831325301,7.80722891566265,False,0.3465332325315009,53590324.811299026,963171.811299026,Max / Supermax,Fair value,False
Shaedon Sharpe,shaedon sharpe,POR,SG,22,50,42,29.4,20.8,4.3,2.6,1.4,0.1,2.9,0.452,0.337,0.787,0.511,,,,,,,,,,,,8399983.0,20089287.0,5.0,98399983.0,98399983.0,8399983.0,20089287.0,21696429.0,23303571.0,24910713.0,,0.05431714161930073,25.46938775510204,5.26530612244898,3.183673469387755,True,,,,Veteran,Unknown,False
Nickeil Alexander-Walker,nickeil alexanderwalker,ATL,SG,27,78,71,33.4,20.8,3.4,3.7,1.3,0.5,2.1,0.459,0.399,0.902,0.564,16.5,0.61,23.9,3.6,2.7,6.3,0.116,1.6,-0.4,1.2,2.1,15161800.0,14403710.0,4.0,60647200.0,44727310.0,15161800.0,14403710.0,15161800.0,15919890.0,,,0.09804134577457048,22.41916167664671,3.6646706586826348,3.988023952095809,False,0.19822053644244308,30654211.299214497,15492411.299214497,Mid-level range,Significant bargain,False
Franz Wagner,franz wagner,ORL,SF,24,34,32,30.0,20.6,5.2,3.3,0.9,0.3,1.7,0.481,0.345,0.823,0.529,19.2,0.588,27.0,1.8,1.1,2.8,0.134,2.6,-0.2,2.5,1.2,38661750.0,41754690.0,5.0,224238150.0,224238150.0,38661750.0,41754690.0,44847630.0,47940570.0,51033510.0,,0.25,24.720000000000002,6.24,3.96,False,0.15872267534621787,24545985.574266553,-14115764.425733447,Veteran (above-MLE),Significant overpay,True
Tyler Herro,tyler herro,MIA,SG,26,33,28,31.3,20.5,4.8,4.1,0.7,0.4,1.9,0.48,0.378,0.917,0.561,17.1,0.602,24.7,1.4,1.0,2.4,0.112,2.4,-0.4,2.0,1.1,31000000.0,33000000.0,2.0,64000000.0,64000000.0,31000000.0,33000000.0,,,,,0.2004565235665742,23.578274760383387,5.520766773162939,4.715654952076677,False,0.18393531842286734,28445045.188141167,-2554954.811858833,Veteran (above-MLE),Fair value,True
Alperen Şengün,alperen sengun,HOU,C,23,72,72,33.3,20.4,8.9,6.2,1.2,1.1,3.2,0.519,0.305,0.691,0.537,21.4,0.569,26.6,4.4,3.6,8.0,0.161,2.7,1.5,4.2,3.7,33944954.0,35642202.0,5.0,185000000.0,145963303.0,33944954.0,35642202.0,37339450.0,39036697.0,39036697.0,,0.21949959585378312,22.054054054054053,9.621621621621623,6.7027027027027035,False,0.2047445023672113,31663123.05758213,-2281830.942417871,Veteran (above-MLE),Fair value,False
Anthony Davis,anthony davis,DAL,PF,32,20,20,31.3,20.4,11.1,2.8,1.1,1.7,2.1,0.506,0.27,0.728,0.521,,,,,,,,,,,,54126450.0,58456566.0,3.0,175369698.0,112583016.0,54126450.0,58456566.0,62786682.0,,,,0.35,23.46325878594249,12.766773162939296,3.220447284345048,False,0.3155435770005902,48797867.552410275,-5328582.447589725,Max / Supermax,Slight overpay,True
Brandon Miller,brandon miller,CHO,SF,23,65,65,30.3,20.2,4.9,3.3,1.0,0.7,2.5,0.435,0.383,0.892,0.533,,,,,,,,,,,,11968800.0,15104626.0,2.0,27073426.0,27073426.0,11968800.0,15104626.0,,,,,0.07739432384721333,24.0,5.8217821782178225,3.9207920792079203,False,0.16638461817999725,25730882.047682036,13762082.047682036,Veteran,Significant bargain,False
Dillon Brooks,dillon brooks,PHO,SF,30,56,56,30.4,20.2,3.6,1.8,1.0,0.2,1.8,0.435,0.344,0.842,0.501,,,,,,,,,,,,21124110.0,19992727.0,2.0,41116837.0,41116837.0,21124110.0,19992727.0,,,,,0.1365956662592873,23.92105263157895,4.2631578947368425,2.1315789473684212,False,0.2048904681853039,31685696.233452693,10561586.233452693,Mid-level range,Significant bargain,False
Desmond Bane,desmond bane,ORL,SG,27,82,82,33.6,20.1,4.1,4.1,1.0,0.5,2.0,0.484,0.391,0.908,0.553,16.9,0.607,23.3,4.8,2.6,7.4,0.129,1.6,-0.2,1.4,2.3,36725670.0,39446090.0,4.0,163225200.0,163225200.0,36725670.0,39446090.0,42166510.0,44886930.0,,,0.23748064947913636,21.535714285714285,4.392857142857142,4.392857142857142,False,0.17432902242645915,26959460.33118463,-9766209.66881537,Veteran (above-MLE),Significant overpay,False
